ts,type,ticker,signal,prev_signal,price,order_status,amount,profit_pct
2026-03-28 15:54:47 KST,RUN,KRW-BTC,SELL,,100835000.0,,,
2026-03-28 16:43:43 KST,RUN,KRW-BTC,SELL,,100990000.0,,,
2026-03-28 16:48:01 KST,RUN,KRW-BTC,SELL,,100980000.0,,,
2026-03-28 17:00:11 KST,RUN,KRW-BTC,SELL,,101094000.0,,,
2026-03-28 21:00:06 KST,RUN,KRW-BTC,SELL,,100701000.0,,,
2026-03-29 01:00:06 KST,RUN,KRW-BTC,SELL,,101511000.0,,,
2026-03-29 05:00:06 KST,RUN,KRW-BTC,SELL,,101430000.0,,,
2026-03-29 09:00:07 KST,RUN,KRW-BTC,SELL,,100894000.0,,,
2026-03-29 13:00:10 KST,RUN,KRW-BTC,SELL,,101429000.0,,,
2026-03-29 17:00:05 KST,RUN,KRW-BTC,SELL,,101221000.0,,,
2026-03-29 21:00:05 KST,RUN,KRW-BTC,SELL,,101452000.0,,,
2026-03-30 01:00:05 KST,RUN,KRW-BTC,SELL,,100990000.0,,,
2026-03-30 05:00:05 KST,RUN,KRW-BTC,SELL,,100941000.0,,,
2026-03-30 09:00:08 KST,RUN,KRW-BTC,SELL,,100450000.0,,,
2026-03-30 13:00:05 KST,RUN,KRW-BTC,SELL,,101737000.0,,,
2026-03-30 15:45:54 KST,RUN,KRW-BTC,SELL,,101970000.0,,,
2026-03-30 15:59:24 KST,RUN,KRW-BTC,SELL,,101963000.0,,,
2026-03-30 16:00:55 KST,RUN,KRW-BTC,SELL,,101805000.0,,,
2026-03-30 17:00:06 KST,RUN,KRW-BTC,SELL,,102379000.0,,,
2026-03-30 21:00:07 KST,RUN,KRW-BTC,SELL,,102558000.0,,,
2026-03-31 01:00:05 KST,RUN,KRW-BTC,SELL,,102460000.0,,,
2026-03-31 05:00:11 KST,RUN,KRW-BTC,SELL,,101240000.0,,,
2026-03-31 09:00:06 KST,RUN,KRW-BTC,SELL,,101458000.0,,,
2026-03-31 13:00:06 KST,RUN,KRW-BTC,SELL,,103180000.0,,,
2026-03-31 17:00:05 KST,RUN,KRW-BTC,SELL,,102662000.0,,,
2026-03-31 21:00:05 KST,RUN,KRW-BTC,SELL,,101857000.0,,,
2026-04-01 01:00:06 KST,RUN,KRW-BTC,SELL,,101818000.0,,,
2026-04-01 05:00:06 KST,RUN,KRW-BTC,SELL,,102584000.0,,,
2026-04-01 09:00:05 KST,RUN,KRW-BTC,SELL,,103342000.0,,,
2026-04-01 13:00:05 KST,RUN,KRW-BTC,SELL,,102932000.0,,,
2026-04-01 17:00:05 KST,RUN,KRW-BTC,SELL,,103299000.0,,,
2026-04-01 21:00:06 KST,RUN,KRW-BTC,HOLD,,103590000.0,,,
2026-04-02 01:00:05 KST,RUN,KRW-BTC,HOLD,,103999000.0,,,
2026-04-02 05:00:07 KST,ORDER,KRW-BTC,SELL,HOLD,103124000.0,OK,5.749e-05,
2026-04-02 05:00:07 KST,RUN,KRW-BTC,SELL,,103124000.0,,,
2026-04-02 09:00:06 KST,RUN,KRW-BTC,SELL,,103129000.0,,,
2026-04-02 13:00:05 KST,RUN,KRW-BTC,SELL,,101515000.0,,,
2026-04-02 17:00:05 KST,RUN,KRW-BTC,SELL,,101728000.0,,,
2026-04-02 21:00:06 KST,RUN,KRW-BTC,SELL,,100950000.0,,,
2026-04-03 01:00:06 KST,RUN,KRW-BTC,SELL,,101575000.0,,,
2026-04-03 05:00:06 KST,RUN,KRW-BTC,SELL,,101877000.0,,,
2026-04-03 09:00:06 KST,RUN,KRW-BTC,SELL,,101718000.0,,,
2026-04-03 13:00:05 KST,RUN,KRW-BTC,SELL,,101119000.0,,,
2026-04-03 17:00:05 KST,RUN,KRW-BTC,SELL,,101650000.0,,,
2026-04-03 21:00:06 KST,RUN,KRW-BTC,SELL,,101553000.0,,,
2026-04-04 01:00:10 KST,RUN,KRW-BTC,SELL,,101400000.0,,,
2026-04-04 05:00:05 KST,RUN,KRW-BTC,SELL,,101482000.0,,,
2026-04-04 09:00:06 KST,RUN,KRW-BTC,SELL,,101648000.0,,,
2026-04-04 13:00:06 KST,RUN,KRW-BTC,SELL,,101464000.0,,,
2026-04-04 17:00:04 KST,RUN,KRW-BTC,SELL,,101633000.0,,,
2026-04-04 21:00:10 KST,RUN,KRW-BTC,SELL,,101908000.0,,,
2026-04-05 01:00:06 KST,RUN,KRW-BTC,SELL,,102266000.0,,,
2026-04-05 05:00:06 KST,RUN,KRW-BTC,SELL,,102074000.0,,,
2026-04-05 09:00:05 KST,RUN,KRW-BTC,SELL,,102056000.0,,,
2026-04-05 13:00:05 KST,RUN,KRW-BTC,SELL,,101890000.0,,,
2026-04-05 17:00:11 KST,RUN,KRW-BTC,SELL,,101606000.0,,,
2026-04-05 21:00:05 KST,RUN,KRW-BTC,SELL,,101854000.0,,,
2026-04-06 01:00:06 KST,RUN,KRW-BTC,SELL,,102248000.0,,,
2026-04-06 05:00:05 KST,RUN,KRW-BTC,SELL,,102296000.0,,,
2026-04-06 09:00:06 KST,RUN,KRW-BTC,HOLD,,104305000.0,,,
2026-04-06 13:00:06 KST,RUN,KRW-BTC,HOLD,,104038000.0,,,
2026-04-06 17:00:06 KST,RUN,KRW-BTC,HOLD,,104044000.0,,,
2026-04-06 21:00:05 KST,RUN,KRW-BTC,HOLD,,104602000.0,,,
2026-04-07 01:00:05 KST,RUN,KRW-BTC,HOLD,,105109000.0,,,
2026-04-07 05:00:06 KST,RUN,KRW-BTC,HOLD,,104968000.0,,,
2026-04-07 09:00:06 KST,RUN,KRW-BTC,HOLD,,103923000.0,,,
2026-04-07 13:00:06 KST,RUN,KRW-BTC,HOLD,,103945000.0,,,
2026-04-07 17:00:06 KST,ORDER,KRW-BTC,SELL,HOLD,103565000.0,SKIP,,
2026-04-07 17:00:06 KST,RUN,KRW-BTC,SELL,,103565000.0,,,
2026-04-07 21:00:06 KST,RUN,KRW-BTC,SELL,,103057000.0,,,
2026-04-08 01:00:05 KST,RUN,KRW-BTC,SELL,,102914000.0,,,
2026-04-08 05:00:06 KST,RUN,KRW-BTC,HOLD,,103933000.0,,,
2026-04-08 09:00:05 KST,RUN,KRW-BTC,HOLD,,107294000.0,,,
2026-04-08 13:00:05 KST,RUN,KRW-BTC,HOLD,,105720000.0,,,
2026-04-08 17:00:10 KST,RUN,KRW-BTC,HOLD,,105985000.0,,,
